HOLE,PARS,YARDAGE,STROKES,STROKE_1_DISTANCE,STROKE_1_CLUB,STROKE_1_LIE,STROKE_2_DISTANCE,STROKE_2_CLUB,STROKE_2_LIE,STROKE_3_DISTANCE,STROKE_3_CLUB,STROKE_3_LIE,STROKE_4_DISTANCE,STROKE_4_CLUB,STROKE_4_LIE,STROKE_5_DISTANCE,STROKE_5_CLUB,STROKE_5_LIE,STROKE_6_DISTANCE,STROKE_6_CLUB,STROKE_6_LIE,STROKE_7_DISTANCE,STROKE_7_CLUB,STROKE_7_LIE,STROKE_8_DISTANCE,STROKE_8_CLUB,STROKE_8_LIE,STROKE_9_DISTANCE,STROKE_9_CLUB,STROKE_9_LIE,STROKE_10_DISTANCE,STROKE_10_CLUB,STROKE_10_LIE
1,3,212,4,195,3 Wood,TEE BOX,9,S Wedge,ROUGH,6,Putter,GREEN,2,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
2,3,185,4,155,5 Iron,TEE BOX,18,L Wedge,FAIRWAY,11,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
3,4,286,5,234,DRIVER,TEE BOX,11,L Wedge,FAIRWAY,10,L Wedge,ROUGH,23,S Wedge,OTHER/HAZARD,8,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
4,4,419,4,235,DRIVER,TEE BOX,165,4 Iron,FAIRWAY,10,L Wedge,ROUGH,9,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
5,4,378,5,234,DRIVER,TEE BOX,115,9 Iron,ROUGH,19,S Wedge,BUNKER,7,Putter,GREEN,3,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
6,4,348,5,232,DRIVER,TEE BOX,87,P Wedge,ROUGH,16,L Wedge,GREEN,12,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
7,3,128,3,122,9 Iron,TEE BOX,5,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
8,5,566,6,226,DRIVER,TEE BOX,194,3 Wood,GREEN,123,9 Iron,FAIRWAY,19,S Wedge,ROUGH,3,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
9,4,430,5,230,DRIVER,TEE BOX,162,4 Iron,FAIRWAY,33,S Wedge,FAIRWAY,4,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
10,4,282,4,232,DRIVER,TEE BOX,43,S Wedge,GREEN,6,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
11,3,123,2,121,9 Iron,TEE BOX,2,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
12,5,464,4,230,DRIVER,TEE BOX,195,3 Wood,FAIRWAY,33,S Wedge,ROUGH,6,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
13,4,448,4,232,DRIVER,TEE BOX,166,5 Wood,ROUGH,44,S Wedge,FAIRWAY,6,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
14,4,371,4,225,DRIVER,TEE BOX,128,8 Iron,ROUGH,15,L Wedge,ROUGH,3,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
15,4,381,2,228,DRIVER,TEE BOX,153,6 Iron,ROUGH,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
16,4,377,4,234,DRIVER,TEE BOX,128,8 Iron,GREEN,12,Putter,GREEN,3,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
17,5,579,7,234,DRIVER,TEE BOX,171,5 Wood,OTHER/HAZARD,137,7 Iron,FAIRWAY,13,L Wedge,OTHER/HAZARD,20,S Wedge,GREEN,2,Putter,GREEN,2,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
18,5,495,5,233,DRIVER,TEE BOX,185,3 Wood,ROUGH,62,S Wedge,BUNKER,14,Putter,GREEN,1,Putter,GREEN,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A
