HOLE,PAR,INDEX,YARDAGE,STROKE_1_DISTANCE,STROKE_1_CLUB,STROKE_1_LIE,STROKE_2_DISTANCE,STROKE_2_CLUB,STROKE_2_LIE,STROKE_3_DISTANCE,STROKE_3_CLUB,STROKE_3_LIE,STROKE_4_DISTANCE,STROKE_4_CLUB,STROKE_4_LIE,STROKE_5_DISTANCE,STROKE_5_CLUB,STROKE_5_LIE,STROKE_6_DISTANCE,STROKE_6_CLUB,STROKE_6_LIE,STROKE_7_DISTANCE,STROKE_7_CLUB,STROKE_7_LIE,STROKE_8_DISTANCE,STROKE_8_CLUB,STROKE_8_LIE,STROKES,PUTTS,FAIRWAY_HIT,CHIP_SHOTS,BUNKER_ATTEMPTS,GIR,PENALTIES
1,5,12,454,286,3_wood,Fairway,150,7_iron,Right_rough,,,,,,,,,,,,,,,,,,,5,2,Yes,,,,
2,4,4,406,240,3_wood,Fairway,192,6_iron,Right_rough,,,,,,,,,,,,,,,,,,,5,2,No,,,,1
3,4,6,367,267,3_wood,Left_rough,100,Lob_wedge,Green,,,,,,,,,,,,,,,,,,,3,1,No,,,,
4,3,16,132,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,
5,4,2,384,289,Driver,Left_rough,128,Gap_wedge,Right_rough,,,,,,,,,,,,,,,,,,,4,1,No,,,,
6,4,8,331,220,3_wood,Left_rough,,,,,,,,,,,,,,,,,,,,,,5,2,No,,,,
7,4,18,297,300,Driver,Left_bunker,,,,,,,,,,,,,,,,,,,,,,3,1,No,,,,
8,3,14,292,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
9,5,10,480,277,Driver,Fairway,233,2_iron,Left_rough,,,,,,,,,,,,,,,,,,,4,1,Yes,,,,
10,4,11,418,270,Driver,Fairway,142,9_iron,Green,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
11,4,366,139,261,3_wood,Fairway,101,Sand_wedge,Green,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
12,5,13,458,292,Driver,Right_rough,,,,,,,,,,,,,,,,,,,,,,4,2,No,,1,,
13,3,7,195,202,4_iron,,,,,,,,,,,,,,,,,,,,,,,6,2,No,,,,
14,4,1,438,300,Driver,Fairway,158,8_iron,Green,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
15,3,17,131,137,9_iron,Green,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,
16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
17,4,5,352,228,2_iron,Fairway,105,S_wedge,Green,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
18,4,12,388,223,2_iron,,,,,,,,,,,,,,,,,,,,,,,4,1,No,,,,1
