0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HOLE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PAR,5,4,4,5,3,4,3,4,4,4,5,3,4,4,3,4,5,4
STROKE_1_DISTANCE,227,204,199,247,236,233,275,280,315,207,244,299,220,205,288,200,222,303
STROKE_1_CLUB,3 Wood,5 Wood,5 Wood,DRIVER,5 Wood,5 Wood,3 Wood,3 Wood,DRIVER,3 Wood,5 Wood,DRIVER,3 Wood,5 Wood,DRIVER,5 Wood,3 Wood,DRIVER
STROKE_1_LIE,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX
STROKE_2_DISTANCE,167,183,199,130,113,109,124,125,161,106,160,57,124,130,175,97,176,205
STROKE_2_CLUB,4 Iron,6 Iron,6 Iron,9 Iron,S Wedge,G Wedge,9 Iron,7 Iron,P Wedge,G Wedge,P Wedge,L Wedge,L Wedge,L Wedge,9 Iron,S Wedge,7 Iron,5 Iron
STROKE_2_LIE,OTHER/HAZARD,ROUGH,GREEN,ROUGH,ROUGH,BUNKER,GREEN,TEE BOX,BUNKER,BUNKER,BUNKER,BUNKER,TEE BOX,BUNKER,BUNKER,BUNKER,ROUGH,FAIRWAY
STROKE_3_DISTANCE,124,100,35,140,168,92,145,76,146,139,174,166,110,156,105,164,176,210
STROKE_3_CLUB,S Wedge,9 Iron,Putter,6 Iron,9 Iron,L Wedge,8 Iron,G Wedge,G Wedge,7 Iron,7 Iron,8 Iron,G Wedge,5 Iron,S Wedge,9 Iron,6 Iron,5 Iron
STROKE_3_LIE,GREEN,FAIRWAY,GREEN,TEE BOX,BUNKER,TEE BOX,BUNKER,TEE BOX,BUNKER,FAIRWAY,FAIRWAY,ROUGH,BUNKER,FAIRWAY,ROUGH,FAIRWAY,BUNKER,TEE BOX
STROKE_4_DISTANCE,10,109,0,184,197,216,81,164,103,24,136,36,40,18,30,122,184,115
STROKE_4_CLUB,Putter,G Wedge,N/A,4 Iron,4 Iron,5 Iron,L Wedge,P Wedge,S Wedge,Putter,P Wedge,Putter,Putter,Putter,Putter,G Wedge,6 Iron,P Wedge
STROKE_4_LIE,GREEN,ROUGH,N/A,BUNKER,OTHER/HAZARD,GREEN,ROUGH,FAIRWAY,FAIRWAY,GREEN,BUNKER,GREEN,GREEN,GREEN,GREEN,OTHER/HAZARD,BUNKER,FAIRWAY
STROKE_5_DISTANCE,0,149,0,83,9,208,39,28,154,0,4,0,0,0,0,25,17,114
STROKE_5_CLUB,N/A,7 Iron,N/A,S Wedge,Putter,6 Iron,Putter,Putter,5 Iron,N/A,Putter,N/A,N/A,N/A,N/A,Putter,Putter,8 Iron
STROKE_5_LIE,N/A,TEE BOX,N/A,ROUGH,GREEN,GREEN,GREEN,GREEN,GREEN,N/A,GREEN,N/A,N/A,N/A,N/A,GREEN,GREEN,BUNKER
STROKE_6_DISTANCE,0,29,0,148,0,8,0,0,35,0,0,0,0,0,0,0,0,14
STROKE_6_CLUB,N/A,Putter,N/A,8 Iron,N/A,Putter,N/A,N/A,Putter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Putter
STROKE_6_LIE,N/A,GREEN,N/A,ROUGH,N/A,GREEN,N/A,N/A,GREEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GREEN
STROKE_7_DISTANCE,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_7_CLUB,N/A,N/A,N/A,Putter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_LIE,N/A,N/A,N/A,GREEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_8_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_9_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_10_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
