0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HOLE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PAR,4,5,3,4,4,4,5,3,4,4,4,5,4,5,4,4,3,3
YARDAGE,281,579,178,368,315,411,548,152,378,280,442,489,434,494,286,438,191,204
STROKES,3,5,3,4,4,4,5,2,2,4,4,5,4,5,4,4,3,4
STROKE_1_DISTANCE,243,242,164,234,235,238,244,147,244,242,234,242,244,244,230,233,172,174
STROKE_1_CLUB,DRIVER,DRIVER,6 Iron,DRIVER,DRIVER,DRIVER,DRIVER,7 Iron,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,5 Iron,5 Wood
STROKE_1_LIE,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX
STROKE_2_DISTANCE,32,198,13,126,70,161,184,5,134,30,183,203,179,178,28,172,18,20
STROKE_2_CLUB,S Wedge,3 Wood,Putter,8 Iron,S Wedge,6 Iron,5 Wood,Putter,9 Iron,S Wedge,5 Wood,3 Wood,4 Iron,5 Wood,L Wedge,5 Wood,S Wedge,L Wedge
STROKE_2_LIE,ROUGH,FAIRWAY,GREEN,OTHER/HAZARD,FAIRWAY,ROUGH,ROUGH,GREEN,FAIRWAY,BUNKER,ROUGH,ROUGH,FAIRWAY,FAIRWAY,FAIRWAY,FAIRWAY,FAIRWAY,FAIRWAY
STROKE_3_DISTANCE,6,133,1,6,8,10,105,0,0,7,20,34,9,24,26,29,1,7
STROKE_3_CLUB,Putter,8 Iron,Putter,Putter,Putter,Putter,P Wedge,N/A,N/A,Putter,L Wedge,S Wedge,Putter,L Wedge,S Wedge,S Wedge,Putter,Putter
STROKE_3_LIE,GREEN,ROUGH,GREEN,GREEN,GREEN,GREEN,FAIRWAY,N/A,N/A,GREEN,FAIRWAY,FAIRWAY,GREEN,FAIRWAY,FAIRWAY,FAIRWAY,GREEN,GREEN
STROKE_4_DISTANCE,0,5,0,2,2,2,12,0,0,1,5,8,2,46,2,4,0,3
STROKE_4_CLUB,N/A,Putter,N/A,Putter,Putter,Putter,Putter,N/A,N/A,Putter,Putter,Putter,Putter,S Wedge,Putter,Putter,N/A,Putter
STROKE_4_LIE,N/A,GREEN,N/A,GREEN,GREEN,GREEN,GREEN,N/A,N/A,GREEN,GREEN,GREEN,GREEN,ROUGH,GREEN,GREEN,N/A,GREEN
STROKE_5_DISTANCE,0,1,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0
STROKE_5_CLUB,N/A,Putter,N/A,N/A,N/A,N/A,Putter,N/A,N/A,N/A,N/A,Putter,N/A,Putter,N/A,N/A,N/A,N/A
STROKE_5_LIE,N/A,GREEN,N/A,N/A,N/A,N/A,GREEN,N/A,N/A,N/A,N/A,GREEN,N/A,GREEN,N/A,N/A,N/A,N/A
STROKE_6_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_6_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_6_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_7_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_8_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_9_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_10_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
